ozdes_id,RA,DEC
SVA1_COADD-2940902328,51.8605,-27.8585
DES15X2ez,35.2673,-7.173
SVA1_COADD-2938627575,34.3614,-5.1589
SVA1_COADD-2939061886,36.4751,-4.1413
SVA1_COADD-2937556898,34.8409,-4.3795
SVA1_COADD-2970514123,8.0445,-42.3894
SVA1_COADD-2970535922,10.3752,-43.5942
SVA1_COADD-2970953756,7.6716,-43.435
DES16C2bce,53.7446,-29.9549
SVA1_COADD-2939285409,55.0384,-29.7124
SVA1_COADD-2940266370,53.7975,-29.0985
SVA1_COADD-2971203641,8.0507,-42.9947
SVA1_COADD-2940201862,53.0361,-27.52
SVA1_COADD-2970448317,6.854,-42.6858
SVA1_COADD-2970816310,9.5491,-44.2283
SVA1_COADD-2970955545,7.5393,-43.4175
SVA1_COADD-2970955865,7.3823,-43.4143
SVA1_COADD-2925457265,42.4317,0.0255
SVA1_COADD-2925722096,41.6826,-1.4056
SVA1_COADD-2937430058,34.1424,-4.3889
SVA1_COADD-2970593018,10.2721,-44.2805
SVA1_COADD-2970855972,9.5045,-44.0499
SVA1_COADD-2938130640,36.2041,-6.0298
SVA1_COADD-2925503752,41.9256,-0.6182
SVA1_COADD-2970543443,8.3226,-42.2324
SVA1_COADD-2970954634,7.109,-43.4257
SVA1_COADD-2925826015,40.4676,-0.9084
SVA1_COADD-2940459287,53.1606,-27.0634
SVA1_COADD-2970341162,7.4118,-42.2756
SVA1_COADD-2938640379,34.5791,-4.9941
SVA1_COADD-2971092080,7.4486,-42.4981
SVA1_COADD-2925423969,43.5221,0.1784
SVA1_COADD-2940208787,53.1876,-27.473
SVA1_COADD-2970677238,8.2783,-44.1868
SVA1_COADD-2925670610,40.8911,-1.525
SVA1_COADD-2970908331,7.4122,-43.8856
SVA1_COADD-2971175628,8.9774,-43.2276
SVA1_COADD-2925675611,40.4319,-1.4276
SVA1_COADD-2925720410,41.4403,-1.433
SVA1_COADD-2925726612,41.5891,-1.3339
DES16E2aaw,10.1333,-43.5269
OzDES-DR2_03643,42.4666,-0.0037
SVA1_COADD-2939774790,53.5842,-29.062
SVA1_COADD-2970728579,9.5499,-44.5838
DES16C2nn,54.0914,-28.8771
SVA1_COADD-2937772148,34.2252,-5.6196
SVA1_COADD-2925706112,41.4858,-1.6725
SVA1_COADD-2938860303,35.055,-4.3994
SVA1_COADD-2939828380,54.7563,-28.3274
SVA1_COADD-2970774039,9.6297,-43.4624
SVA1_COADD-2925436589,42.7891,-0.3112
SVA1_COADD-2940401289,35.6029,-6.1021
SVA1_COADD-2970419657,6.5467,-43.1493
DES17E2evv,9.6431,-44.1534
SVA1_COADD-2925370090,42.1647,-0.1187
SVA1_COADD-2939304598,55.1337,-27.2476
SVA1_COADD-2940480268,52.2132,-28.8201
DES16S2hx,41.482,-1.6805
SVA1_COADD-2925739931,41.1883,-1.1035
DES17E1ad,7.3945,-42.5273
OzDES-DR2_03669,42.7199,-0.0466
SVA1_COADD-2925834193,40.7704,-0.7804
SVA1_COADD-2970930300,7.1212,-43.6517
DES17X1gg,34.3402,-5.108
SVA1_COADD-2970687037,8.2054,-44.0716
SVA1_COADD-2970977864,7.9384,-43.2027
SVA1_COADD-2970516967,10.6456,-43.7295
OzDES-DR2_03576,40.4713,-0.5056
SVA1_COADD-2970404878,9.5577,-44.7273
OzDES-DR2_03588,41.2074,-0.9655
SVA1_COADD-2939589422,53.7411,-27.2963
SVA1_COADD-2970968959,7.6179,-43.2839
SVA1_COADD-2925649064,43.2132,-0.5558
SVA1_COADD-2938340974,34.8802,-5.521
SVA1_COADD-2925654765,43.2581,-0.4101
SVA1_COADD-2937812899,34.4023,-5.3658
SVA1_COADD-2940028186,53.7236,-27.5722
OzDES-DR2_03617,42.116,0.2479
OzDES-DR2_03652,42.5552,0.0177
SVA1_COADD-2937675703,34.0831,-5.2812
SVA1_COADD-2940837830,51.6475,-28.4053
DES14C3ni,51.5438,-28.2424
DES15S2is,40.9146,-0.4127
SVA1_COADD-2925636201,42.1223,-1.1067
SVA1_COADD-2970611349,10.1966,-43.9884
SVA1_COADD-2970656121,8.2572,-44.4315
SVA1_COADD-2925568094,42.3251,0.5508
SVA1_COADD-2925676806,40.3514,-1.4084
SVA1_COADD-2939367073,54.0581,-30.0238
SVA1_COADD-2939620647,53.7024,-26.9573
SVA1_COADD-2925392402,42.1682,0.2974
SVA1_COADD-2925440132,43.1001,-0.2574
SVA1_COADD-2938646171,34.3998,-4.9129
SVA1_COADD-2970847329,9.2915,-43.2078
SVA1_COADD-2971220308,8.2015,-42.8312
SVA1_COADD-2925476343,43.0227,0.337
SVA1_COADD-2925539813,41.4981,-0.3396
SVA1_COADD-2925628913,41.842,-1.3593
SVA1_COADD-2925671794,40.7468,-1.5025
SVA1_COADD-2937586747,34.7198,-4.0155
SVA1_COADD-2940665147,53.0374,-28.7491
SVA1_COADD-2970798153,9.1603,-43.3896
SVA1_COADD-2940867955,52.4518,-28.11
SVA1_COADD-2925807969,42.4959,-0.4458
DES15S1cs,43.0727,-0.8804
SVA1_COADD-2925328555,40.9798,-1.9638
SVA1_COADD-2971092076,7.629,-42.4979
DES14S2aog,42.1485,-0.9175
SVA1_COADD-2939182447,35.8839,-7.0532
SVA1_COADD-2940277059,54.439,-28.9814
SVA1_COADD-2940370712,35.7825,-6.4532
SVA1_COADD-2970421584,6.5215,-43.1225
SVA1_COADD-2925658020,43.4317,-0.3533
SVA1_COADD-2938919704,36.2772,-5.149
SVA1_COADD-2970723181,9.518,-43.7281
DES13E1bvn,7.0463,-42.5731
SVA1_COADD-2925786691,42.7037,-0.7944
SVA1_COADD-2970554797,8.3528,-42.15
DES17C2os,53.8132,-29.8105
SVA1_COADD-2937572662,34.8157,-4.1875
SVA1_COADD-2925392258,42.0135,0.294
SVA1_COADD-2939368309,54.0399,-30.0036
SVA1_COADD-2970571787,10.3187,-43.235
DES14C1csb,53.862,-27.1894
SVA1_COADD-2937564514,34.603,-4.2815
SVA1_COADD-2937682128,34.0682,-5.18
SVA1_COADD-2925471674,42.9359,0.2535
SVA1_COADD-2925623942,41.1568,-0.3599
SVA1_COADD-2939385966,54.3898,-29.7901
SVA1_COADD-2939935538,53.6014,-28.3812
SVA1_COADD-2939572583,53.5068,-27.4234
SVA1_COADD-2940389965,35.9638,-6.2345
SVA1_COADD-2970328630,6.9624,-42.4076
OzDES-DR2_03667,41.6198,-1.1526
SVA1_COADD-2938643980,34.6595,-4.9501
SVA1_COADD-2939526079,54.3022,-27.2883
SVA1_COADD-2939644684,54.6153,-29.5566
DES15S2aqw,40.8318,-0.901
SVA1_COADD-2938133405,35.9419,-5.995
SVA1_COADD-2940028880,53.6911,-27.5668
SVA1_COADD-2940518953,52.5888,-28.5436
SVA1_COADD-2970364664,6.9837,-43.6513
SVA1_COADD-2970870411,9.8391,-43.8897
SVA1_COADD-2939484158,54.5311,-27.73
SVA1_COADD-2970753301,9.2656,-44.458
DES14X3cce,37.3158,-4.7044
SVA1_COADD-2925676432,40.483,-1.4145
SVA1_COADD-2971005817,7.9338,-43.0708
SVA1_COADD-2971085043,7.0464,-42.5731
DES13E2zj,10.3453,-43.9106
SVA1_COADD-2938668984,34.6198,-4.6327
SVA1_COADD-2939566999,53.5891,-27.4301
SVA1_COADD-2937590149,34.2817,-3.9783
SVA1_COADD-2939390597,54.2435,-29.7345
SVA1_COADD-2970909028,7.5971,-43.876
DES14S2qh,40.6042,-1.4432
SVA1_COADD-2938151694,35.9952,-5.8363
SVA1_COADD-2971021290,7.6074,-42.9927
SVA1_COADD-2925781163,42.443,-0.9282
SVA1_COADD-2940331968,36.3953,-6.2075
SVA1_COADD-2925712582,41.6285,-1.5645
SVA1_COADD-2925718069,41.5585,-1.4702
SVA1_COADD-2937545949,34.4266,-4.5138
SVA1_COADD-2937564505,34.1986,-4.281
SVA1_COADD-2970554549,8.4083,-42.154
SVA1_COADD-2938178978,36.2306,-5.6213
SVA1_COADD-2937464658,33.5271,-4.9581
SVA1_COADD-2939571354,54.3021,-26.7957
SVA1_COADD-2925430831,43.2667,0.3167
SVA1_COADD-2938921400,36.3425,-5.1376
SVA1_COADD-2939196474,35.9596,-6.8809
SVA1_COADD-2970493485,9.1081,-42.5387
SVA1_COADD-2970694364,8.3511,-43.9802
SVA1_COADD-2925710206,41.4748,-1.6002
SVA1_COADD-2938695539,36.9328,-5.1646
SVA1_COADD-2937684941,34.0156,-5.1421
SVA1_COADD-2940364387,35.8447,-6.5234
DES13X1cps,33.8722,-4.1417
SVA1_COADD-2938218765,36.2517,-5.3682
SVA1_COADD-2937772413,34.12,-5.616
SVA1_COADD-2940004848,53.7187,-27.7948
SVA1_COADD-2939551294,54.6754,-26.9794
SVA1_COADD-2940567869,52.369,-28.188
SVA1_COADD-2970458628,9.0695,-43.1596
SVA1_COADD-2970601856,10.3236,-44.1263
DES13X2esw,36.0639,-6.77
OzDES-DR2_03623,42.2126,-0.1878
SVA1_COADD-2925519095,42.2164,-0.3682
SVA1_COADD-2939698167,54.7066,-29.0201
SVA1_COADD-2970648269,8.7887,-44.5394
DES17X3bqv,36.6263,-4.2829
SVA1_COADD-2970750355,9.7656,-43.5599
SVA1_COADD-2925369350,42.2807,-0.1303
DES17S1auo,42.5237,-0.6819
OzDES-DR2_03687,42.8297,0.3278
OzDES-DR2_03731,43.2586,-0.2924
SVA1_COADD-2970591418,10.3135,-44.3058
SVA1_COADD-2970978434,7.7606,-43.1975
DES13E2dqo,9.9022,-43.1111
DES14E1boz,7.4035,-42.9558
SVA1_COADD-2925436797,42.6019,-0.3089
SVA1_COADD-2925794296,42.5917,-0.6791
SVA1_COADD-2925333741,40.8698,-1.7843
SVA1_COADD-2939319601,55.1314,-26.9995
DES14E2ut,10.6413,-44.1679
OzDES-DR2_03690,42.8715,-0.9542
SVA1_COADD-2971062570,7.4226,-42.7831
OzDES-DR2_03654,42.5573,-0.8151
SVA1_COADD-2938854236,35.0207,-4.4678
SVA1_COADD-2925385797,42.2861,0.1501
DES14C2ts,55.1007,-29.206
DES15C3kc,53.3527,-28.741
SVA1_COADD-2925698205,40.6921,-1.0547
SVA1_COADD-2938641622,34.9899,-4.9795
SVA1_COADD-2939659653,54.6405,-29.4072
SVA1_COADD-2925765744,42.5373,0.7346
SVA1_COADD-2970646067,8.946,-44.569
SVA1_COADD-2937557129,34.6057,-4.3766
SVA1_COADD-2970951747,7.2569,-43.4531
SVA1_COADD-2970840955,9.8466,-44.1258
OzDES-DR2_03587,41.1999,-0.6531
SVA1_COADD-2937875201,35.1174,-6.8821
SVA1_COADD-2925476876,42.4606,0.3457
SVA1_COADD-2940253043,53.8888,-29.2272
SVA1_COADD-2940661194,53.1743,-28.7863
SVA1_COADD-2939399418,53.8855,-29.6529
SVA1_COADD-2925477181,42.9075,0.3508
SVA1_COADD-2939572534,53.9042,-27.4242
SVA1_COADD-2970654635,8.976,-44.4485
SVA1_COADD-2971231892,8.2347,-42.7312
SVA1_COADD-2938622100,34.3835,-5.2255
SVA1_COADD-2925749412,42.9816,0.4468
SVA1_COADD-2925464457,42.8595,0.136
SVA1_COADD-2939669641,54.9628,-29.3106
SVA1_COADD-2970553533,10.067,-43.4529
SVA1_COADD-2970682071,8.7182,-44.1238
DES15S2jm,41.4008,-0.4678
SVA1_COADD-2939752057,54.533,-28.7765
SVA1_COADD-2940700344,53.3257,-28.5116
OzDES-DR2_03680,42.7681,-0.1456
SVA1_COADD-2939429771,51.702,-27.8273
SVA1_COADD-2940482954,52.0118,-28.8024
SVA1_COADD-2970667979,8.5812,-44.2897
SVA1_COADD-2925810009,42.6274,-0.4134
SVA1_COADD-2940535913,52.0145,-28.4174
SVA1_COADD-2925393331,42.189,0.3208
SVA1_COADD-2939644652,54.7653,-29.5574
SVA1_COADD-2971138020,8.3817,-43.5537
SVA1_COADD-2970720523,9.0615,-43.7536
DES13X1dai,34.4584,-5.4695
SVA1_COADD-2939592350,53.5704,-27.2581
OzDES-DR2_03625,42.2308,0.1348
SVA1_COADD-2937546295,34.5938,-4.51
SVA1_COADD-2939403779,54.1895,-29.6137
SVA1_COADD-2939630101,53.9753,-26.8395
SVA1_COADD-2939810672,54.8874,-28.4908
SVA1_COADD-2940502332,52.5596,-28.6635
SVA1_COADD-2971250820,8.0634,-42.5513
OzDES-DR2_03750,43.5463,-0.3176
SVA1_COADD-2939296858,55.1137,-27.4206
SVA1_COADD-2970373462,6.963,-43.4648
SVA1_COADD-2940241327,53.7506,-29.3462
SVA1_COADD-2938945772,35.884,-4.961
SVA1_COADD-2925799729,43.0067,-0.5876
OzDES-DR2_03692,42.9051,-0.5079
SVA1_COADD-2939178841,36.0433,-7.0995
SVA1_COADD-2939373900,54.4975,-29.9228
SVA1_COADD-2970368841,7.0085,-43.5617
SVA1_COADD-2970909213,7.4295,-43.8719
SVA1_COADD-2939401752,54.151,-29.6317
SVA1_COADD-2939864039,54.0914,-28.8772
SVA1_COADD-2971079430,7.493,-42.6236
SVA1_COADD-2937854650,35.2673,-7.173
SVA1_COADD-2925491764,42.2661,-0.8425
SVA1_COADD-2938767018,36.8829,-4.6334
SVA1_COADD-2939250074,53.6623,-26.3133
SVA1_COADD-2970617822,10.544,-43.9012
SVA1_COADD-2925770072,42.4739,0.8121
SVA1_COADD-2939225990,53.7351,-26.6797
SVA1_COADD-2970855768,9.2035,-44.0511
SVA1_COADD-2971010547,7.489,-43.0506
DES15X3hf,36.9498,-3.9605
OzDES-DR2_03732,43.2634,0.9501
SVA1_COADD-2970737963,9.1992,-44.5393
SVA1_COADD-2939704674,54.6747,-28.9646
SVA1_COADD-2939283340,54.8135,-29.7583
SVA1_COADD-2940882201,52.1499,-28.0045
SVA1_COADD-2925362897,42.1405,-0.2533
SVA1_COADD-2925812345,43.0047,-0.3779
SVA1_COADD-2939288444,54.819,-29.6635
SVA1_COADD-2940438745,53.2839,-27.2479
SVA1_COADD-2970618168,10.3354,-43.8972
OzDES-DR2_03043,54.7679,-27.9812
OzDES-DR2_03046,36.3951,-4.4005
SVA1_COADD-2925500184,42.378,-0.6831
SVA1_COADD-2925533510,43.1922,0.675
SVA1_COADD-2937702952,34.1105,-4.8856
SVA1_COADD-2971029133,7.4035,-42.9558
DES15X2eh,35.0816,-6.1249
SVA1_COADD-2925562868,42.011,0.4056
SVA1_COADD-2940265001,54.2632,-29.1127
SVA1_COADD-2940307585,36.1212,-6.5066
SVA1_COADD-2970722426,9.2223,-43.7351
OzDES-DR2_03753,43.5968,-0.4515
SVA1_COADD-2925652736,43.5285,-0.4525
SVA1_COADD-2940000433,53.7407,-27.8324
SVA1_COADD-2938630133,34.8465,-5.1284
SVA1_COADD-2939748567,54.9464,-28.795
SVA1_COADD-2937695256,33.6561,-4.9923
OzDES-DR2_03679,42.7471,-0.3859
